sample	sitesH	sitesA	sitesB	sitesC	sitesD	countH	countA	countB	countC	countD	fracZ	fracA	fracB	fracC	fracD
9-2.trim.bt2.sam	304	0	3	7538	2	8806	0	13	17098	9	0.66034	0	0.001	0.999	0.001
9-3.trim.bt2.sam	296	0	2	6688	2	7611	0	7	13376	8	0.63761	0	0.001	0.999	0.001
90.trim.bt2.sam	211	0	0	2196	2	3387	0	0	2808	2	0.45345	0	0	0.999	0.001
91.trim.bt2.sam	307	0	3	4592	2	9116	0	3	7972	8	0.46687	0	0	0.999	0.001
92.trim.bt2.sam	236	0	2	2942	1	3234	0	4	4151	3	0.5625	0	0.001	0.998	0.001
93.trim.bt2.sam	184	0	1	2550	2	1920	0	1	3669	2	0.65665	0	0	0.999	0.001
94.trim.bt2.sam	139	0	0	1113	0	358	0	0	1245	0	0.77667	0	0	1	0
95.trim.bt2.sam	127	1	0	167	1	606	1	0	177	1	0.22803	0.006	0	0.989	0.006
96.trim.bt2.sam	202	0	1	1994	1	2782	0	1	2682	1	0.49104	0	0	0.999	0
97.trim.bt2.sam	185	0	2	1565	2	2023	0	2	1935	3	0.48953	0	0.001	0.997	0.002
98.trim.bt2.sam	194	0	1	1933	1	1329	0	1	2337	1	0.63768	0	0	0.999	0
99.trim.bt2.sam	57	0	0	130	0	103	0	0	131	0	0.55983	0	0	1	0
