sample,pop,cluster1,cluster2,cluster3,cluster4
209,Upper Keys-Mesophotic,1.00E-09,1.00E-09,1.00E-09,0.999999997
211,Upper Keys-Mesophotic,2.26E-05,1.00E-09,0.36609624,0.633881126
212,Upper Keys-Mesophotic,0.349888984,1.00E-09,0.021293321,0.628817694
214,Upper Keys-Mesophotic,0.019001492,0.818154622,1.72E-06,0.162842167
216,Upper Keys-Mesophotic,0.000000001,0.173426957,0.672570142,0.154002899
217,Upper Keys-Mesophotic,0.070775372,1.00E-09,1.00E-09,0.929224626
218,Upper Keys-Shallow,0.999999997,1.00E-09,1.00E-09,1.00E-09
219,Upper Keys-Shallow,0.999999997,1.00E-09,1.00E-09,1.00E-09
220,Upper Keys-Shallow,0.999999997,1.00E-09,1.00E-09,1.00E-09
222,Upper Keys-Shallow,0.268048742,0.680805914,1.00E-09,0.051145343
224,Upper Keys-Shallow,0.02974959,0.000000001,2.68E-09,0.970250406
225,Upper Keys-Shallow,0.012579518,1.00E-09,1.00E-09,0.98742048
226,Upper Keys-Shallow,0.944974319,1.00E-09,1.00E-09,0.055025679
227,Upper Keys-Shallow,0.089401961,1.00E-09,5.65E-07,0.910597473
228,Upper Keys-Shallow,0.999999997,1.00E-09,1.00E-09,1.00E-09
229,Upper Keys-Shallow,0.24297,0.736348413,1.00E-09,0.020681586
230,Upper Keys-Shallow,0.999999997,1.00E-09,1.00E-09,1.00E-09
231,Upper Keys-Shallow,0.999999478,1.00E-09,1.00E-09,5.20E-07
232,Upper Keys-Shallow,0.269882958,0.711288877,1.00E-09,0.018828163
233,Upper Keys-Shallow,0.298628688,0.674680103,1.00E-09,0.026691208
234,Upper Keys-Shallow,1.00E-09,1.00E-09,1.00E-09,0.999999997
235,Upper Keys-Shallow,0.999999997,1.00E-09,1.00E-09,1.00E-09
236,Upper Keys-Shallow,0.0434424,5.76E-07,1.00E-09,0.956557023
237,Upper Keys-Shallow,0.999999997,1.00E-09,1.00E-09,1.00E-09
